No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
114,QRVO,2.37%,-6.41%,-12.32%,-11.13%,6.40%,-5.01%,2.32%,2.55%,2.10,1.08M,1.33,157.94,-0.86%,"1,435,740"
115,REG,0.44%,7.45%,15.98%,19.03%,54.73%,63.83%,1.86%,2.12%,2.30,842.80K,0.98,74.69,0.40%,"828,129"
116,REGN,3.15%,16.25%,-2.10%,25.06%,19.27%,32.85%,2.15%,2.67%,2.00,810.46K,0.54,641.83,-0.14%,"438,698"
117,ROST,-1.81%,7.23%,-7.95%,-4.87%,5.49%,-5.12%,2.87%,2.13%,2.00,1.75M,2.27,116.52,1.30%,"3,969,720"
118,SBAC,2.27%,5.45%,-2.66%,19.51%,17.24%,24.16%,1.91%,2.46%,1.90,510.82K,0.84,350.29,0.84%,"428,988"
119,SBUX,-0.64%,-0.85%,-1.57%,1.00%,14.12%,5.18%,1.62%,1.92%,2.20,6.16M,0.93,112.52,0.26%,"5,740,910"
120,SIVB,0.45%,6.48%,37.34%,33.13%,113.95%,92.16%,2.21%,2.43%,2.30,337.71K,0.74,745.26,-1.24%,"249,772"
121,SNPS,4.82%,13.80%,12.00%,44.63%,60.00%,36.52%,1.92%,2.05%,1.90,680.30K,0.51,353.92,0.13%,"345,923"
122,STX,1.89%,24.37%,14.47%,4.20%,81.75%,62.31%,5.69%,3.29%,2.40,2.40M,1.33,100.89,-2.67%,"3,189,032"
123,SWKS,1.66%,-1.08%,-8.05%,-3.36%,15.76%,6.60%,1.67%,2.31%,2.30,1.48M,1.18,162.97,-0.49%,"1,746,323"
124,TECH,-1.93%,-1.14%,3.79%,20.80%,60.50%,55.54%,2.61%,2.69%,1.80,336.52K,0.64,493.92,-2.10%,"215,857"
125,TER,6.76%,29.89%,32.75%,19.74%,43.15%,26.46%,2.20%,2.90%,2.20,1.48M,1.25,151.61,0.24%,"1,843,799"
126,TMUS,-1.97%,-1.16%,-16.82%,-13.93%,-9.16%,-13.10%,1.51%,2.00%,1.90,5.18M,0.67,117.19,-0.99%,"3,477,761"
127,TRMB,3.73%,1.85%,-0.31%,15.49%,54.69%,32.77%,2.08%,2.37%,2.00,1.10M,0.70,88.65,-0.71%,"764,049"
128,TROW,-0.92%,4.14%,-0.65%,12.88%,51.46%,41.60%,1.52%,2.33%,3.00,984.63K,0.68,211.09,-1.88%,"670,408"
129,TSCO,4.17%,11.20%,16.10%,23.07%,71.88%,61.00%,1.88%,2.11%,2.30,753.54K,0.96,226.33,-1.20%,"727,013"
130,TSLA,1.97%,26.00%,61.70%,85.59%,146.60%,54.32%,5.05%,5.68%,2.60,23.54M,1.33,1089.01,3.25%,"31,342,525"
131,TTWO,-3.12%,2.91%,9.10%,-4.34%,9.15%,-14.80%,3.18%,3.06%,2.10,1.24M,1.20,177.04,-1.47%,"1,484,185"
132,TXN,1.36%,-4.37%,2.45%,2.30%,21.91%,15.50%,1.56%,1.73%,2.50,3.63M,1.14,189.57,0.56%,"4,137,201"
133,UAL,-5.85%,5.45%,10.95%,-11.53%,20.05%,12.69%,2.60%,2.81%,2.70,10.78M,0.77,48.74,-0.93%,"8,266,976"
134,ULTA,2.78%,10.69%,11.46%,26.24%,45.62%,40.06%,2.75%,2.63%,2.30,737.31K,0.69,402.21,-2.81%,"512,262"
135,VIAC,-0.88%,-10.21%,-11.50%,-15.51%,8.64%,-5.85%,2.54%,3.05%,2.50,9.80M,0.93,35.08,-0.20%,"9,084,060"
136,VRSK,4.99%,5.87%,15.32%,29.51%,9.36%,8.15%,1.73%,1.78%,2.20,800.51K,0.95,224.50,0.85%,"759,778"
137,VRSN,3.37%,11.09%,13.06%,7.42%,23.13%,10.67%,1.34%,1.71%,2.20,452.53K,1.12,239.50,-0.08%,"507,067"
138,VRTX,0.18%,1.53%,-3.48%,-13.09%,-15.57%,-20.35%,2.29%,2.24%,2.00,1.48M,1.81,188.25,-0.04%,"2,683,726"
139,VTRS,-6.12%,0.59%,-7.33%,-12.44%,-16.46%,-27.16%,2.24%,2.54%,2.40,7.96M,1.49,13.65,-1.66%,"11,861,229"
140,WBA,-2.37%,-0.42%,0.55%,-12.44%,19.96%,19.88%,1.83%,2.13%,3.00,5.50M,1.57,47.81,-1.56%,"8,628,142"
141,WDC,2.23%,1.51%,-5.17%,-22.56%,32.23%,1.99%,4.45%,3.60%,2.20,3.77M,1.38,56.49,-3.40%,"5,188,950"
142,WLTW,-0.71%,-7.42%,7.18%,-13.08%,9.31%,9.03%,1.37%,2.10%,2.30,1.73M,0.46,229.70,-0.44%,"799,975"
143,WYNN,3.24%,3.69%,7.13%,-24.98%,0.82%,-15.80%,3.78%,3.72%,2.10,4.86M,0.49,95.00,-2.74%,"2,405,173"
144,XEL,0.90%,0.06%,-7.34%,-9.23%,-10.55%,-2.55%,1.68%,1.76%,2.90,3.36M,1.05,64.97,1.34%,"3,515,576"
145,XLNX,9.24%,26.99%,51.69%,74.35%,65.77%,52.49%,3.28%,3.61%,2.90,2.07M,0.85,216.18,-1.30%,"1,764,783"
146,XRAY,-2.76%,-5.84%,-9.50%,-20.25%,10.82%,3.50%,1.78%,2.14%,2.00,1.23M,2.24,54.19,-0.93%,"2,749,035"
147,ZBRA,4.13%,14.60%,7.66%,22.67%,77.77%,57.63%,1.85%,2.79%,2.20,228.97K,0.75,605.83,0.14%,"172,562"
148,ZION,1.87%,4.81%,24.68%,16.22%,67.40%,52.60%,1.89%,2.44%,2.70,1.25M,0.89,66.29,-0.23%,"1,117,559"
